EAN,Style no.,Color code
5711855518668,135610,662
5711855536907,135503,662
5711855550552,135543,801
5711855443229,118189,460
5711855515506,134250,872
5711855516640,134840,388
5711855530325,134960,801
5711855530042,134930,532
5711855529381,134880,180
5711855546593,123500,532
5711855532619,135220,638
5711855529619,134900,101
5711855550811,134380,410
5711855430656,129760,801
5711855430762,129770,410
5711855526793,134642,532
5711855537249,135520,662
5711855535030,135400,662
5711855531568,135120,532
5711855472274,131860,101
5711855538499,135580,101
5711855472663,131870,101
5711855516701,134860,638
5711855526304,134610,872
5711855548207,132050,662
5711855516923,134420,452
5711855516947,134410,657
5711855527431,134710,249
5711855515377,134230,850
5711855536976,135510,532
5711855526458,134612,872
5711855538987,135592,873
5711855537102,135512,532
5711855531995,135180,388
5711855407474,123600,469
5711855531285,135110,533
5711855532558,135210,661
5711855517685,135291,406
5711855536716,135500,662
5711855537171,135513,532
5711855537034,135511,532
5711855548399,132550,638
5711855534033,135311,447
5711855516855,134430,850
5711855523617,134435,401
5711855537607,135530,872
5711855535825,135440,663
5711855537317,135521,662
5711855442949,112579,460
5711855440716,112639,469
5711855443083,112629,460
5711855552204,135490,663
5711855536631,135492,872
5711855538857,135590,873
5711855554499,134132,401
5711855534699,135360,801
5711855528094,134751,919
5711855553607,128890,662
5711855418241,128880,801
5711855516749,134060,661
5711855530233,134950,657
5711855554291,134390,447
5711855517753,126490,873
5711855549389,132510,661
5711855536242,135460,638
5711855527714,134722,249
5711855517654,135310,447
5711855515599,135320,401
5711855537867,135542,801
5711855531841,135151,638
5711855551566,134970,664
5711855546968,128690,657
5711855527950,134740,532
5711855551993,135292,406
5711855489371,127850,180
5711855548559,132554,638
5711855538284,135561,872
5711855537386,135522,662
5711855517036,135591,873
5711855526199,134601,638
5711855552266,135491,663
5711855530189,134940,664
5711855516756,134160,401
5711855549181,130961,469
5711855531919,135160,638
5711855531513,135114,533
5711855526748,134641,532
5711855536174,135452,387
5711855546852,123590,661
5711855550712,134120,510
5711855529145,134870,180
5711855525888,134570,638
5711855531124,135070,872
5711855550248,135071,662
5711855525987,134580,532
5711855525789,134561,801
5711855538352,135562,638
5711855441225,120239,801
5711855549709,134520,665
5711855528049,134750,386
5711855528582,134790,801
5711855531414,135112,533
5711855532183,135190,180
5711855534897,135390,662
5711855551511,134850,180
5711855531797,135150,638
5711855548863,121500,388
5711855531179,135080,872
5711855527226,134690,872
5711855524546,134470,532
5711855525598,134550,919
5711855528148,134760,180
5711855529794,134920,532
5711855515476,134240,532
5711855517029,135502,662
5711855526137,134600,638
5711855553232,124220,664
5711855526687,134640,532
5711855548122,131960,664
5711855527035,134661,872
5711855549723,134660,101
5711855547378,131730,661
5711855536112,135451,387
5711855539045,135600,387
5711855524720,134480,387
5711855527172,134680,401
5711855471321,131760,401
5711855547538,131731,661
5711855516695,134890,873
5711855537799,135541,801
5711855554390,134431,401
5711855550910,134437,850
5711855537522,135523,662
5711855439772,110809,469
5711855515582,128740,801
5711855552501,135680,801
5711855552488,135670,801
5711855551696,134990,622
5711855530455,134980,622
5711855518545,135030,801
5711855518590,135000,601
5711855518552,135010,861
5711855518712,135100,638
5711855530769,135020,801
5711855548757,132810,861
5711855437105,130120,801
5711855517913,134614,386
5711855524867,134490,663
5711855515438,134221,662
5711855517708,135340,447
5711855515360,134071,532
5711855516978,134210,401
5711855550613,134080,533
5711855516985,134191,801
5711855521231,129610,801
5711855534385,135332,401
5711855517692,135331,850
5711855530967,135050,532
5711855515544,134131,401
5711855537737,135540,801
5711855536051,135450,387
5711855515605,135250,532
5711855532800,135240,662
5711855528827,134830,801
5711855550354,135200,532
5711855532688,135230,532
5711855528346,134771,386
5711855527615,134720,249
5711855527660,134721,249
5711855525413,134530,871
5711855535610,135420,663
5711855535719,135430,401
5711855516909,134434,850
5711855523945,134438,401
5711855538222,135560,872
5711855534231,135330,850
5711855417411,128830,480
5711855531469,135113,533
5711855517432,135170,638
5711855524409,134460,532
5711855546319,121530,532
5711855546456,121540,532
5711855526502,134613,386
5711855516787,130090,387
5711855515414,134220,387
5711855549877,134440,532
5711855520159,134130,401
5711855519054,134070,532
5711855515445,134211,401
5711855515490,134190,801
5711855517715,135290,406
5711855516770,134200,850
5711855515537,134090,872
5711855462015,131390,406
5711855515421,134150,401
5711855532237,135191,180
5711855526366,134611,386
5711855525734,134560,874
5711855525468,134540,387
5711855526847,134650,661
5711855547217,131700,661
5711855468758,131660,101
5711855551313,134730,180
5711855517746,135192,180
5711855527769,134723,249
5711855537669,135531,872
5711855517678,134100,249
5711855531223,135090,638
5711855516916,134441,532
5711855515513,134081,662
5711855525147,134510,662
5711855516732,134810,180
5711855529701,134910,180
5711855524959,134500,641
5711855515629,134590,871
