Brand,Collection code,EAN,Style no.,Style,Size,Color code,Color,Length,Price,Sales price,Product group code,Product group name,Delivery drops,Quality,Tariff code,Country of origin,Packed
MOS MOSH,AW20,5711855518668,135610,10 pack MM Lurex Socks (of 3 pcs),36-38 + 39-41,662,Chocolate Chip,,140,35,90000,Accessories,Jul/Aug 2020,"52%CO,33%PA,11%MTF,4%EL,50%CO,35%PA,12%MTF,3%EL,80",6115969900,PT,Flat Packed
MOS MOSH,AW20,5711855518651,135610,10 pack MM Lurex Socks (of 3 pcs),36-38 + 39-41,388,Cherries Jubilee,,140,35,90000,Accessories,Aug/Sep 2020,"52%CO,33%PA,11%MTF,4%EL,50%CO,35%PA,12%MTF,3%EL,80",6115969900,PT,Flat Packed
MOS MOSH,AW20,5711855518675,135610,10 pack MM Lurex Socks (of 3 pcs),36-38 + 39-41,872,Wet Weather,,140,35,90000,Accessories,Aug/Sep 2020,"52%CO,33%PA,11%MTF,4%EL,50%CO,35%PA,12%MTF,3%EL,80",6115969900,PT,Flat Packed
MOS MOSH,AW20,5711855536907,135503,Abbey Beha Pant,32,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855536914,135503,Abbey Beha Pant,34,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855517333,135503,Abbey Beha Pant,36,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855536921,135503,Abbey Beha Pant,38,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855536938,135503,Abbey Beha Pant,40,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855536945,135503,Abbey Beha Pant,42,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855536952,135503,Abbey Beha Pant,44,662,Chocolate Chip,Ankle,45,119,17000,Tailored Pants,Jul/Aug 2020,"63%PES,34%CV,3%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855550552,135543,Abbey Bento Pant,32,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855549686,135543,Abbey Bento Pant,34,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855550569,135543,Abbey Bento Pant,36,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855550576,135543,Abbey Bento Pant,38,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855550583,135543,Abbey Bento Pant,40,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855550590,135543,Abbey Bento Pant,42,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855550606,135543,Abbey Bento Pant,44,801,Black,Ankle,60,159,17000,Tailored Pants,Aug/Sep 2020,"65%PES,32%CV,3%EL",6204631890,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443229,118189,Abbey Night Pant Sustainable,32,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443236,118189,Abbey Night Pant Sustainable,34,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443243,118189,Abbey Night Pant Sustainable,36,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443250,118189,Abbey Night Pant Sustainable,38,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443267,118189,Abbey Night Pant Sustainable,40,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443274,118189,Abbey Night Pant Sustainable,42,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443281,118189,Abbey Night Pant Sustainable,44,460,Indigo Blue,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440938,118189,Abbey Night Pant Sustainable,32,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440945,118189,Abbey Night Pant Sustainable,34,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440952,118189,Abbey Night Pant Sustainable,36,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440969,118189,Abbey Night Pant Sustainable,38,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440976,118189,Abbey Night Pant Sustainable,40,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440983,118189,Abbey Night Pant Sustainable,42,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855440990,118189,Abbey Night Pant Sustainable,44,469,Navy,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546050,118189,Abbey Night Pant Sustainable,32,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546067,118189,Abbey Night Pant Sustainable,34,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546074,118189,Abbey Night Pant Sustainable,36,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546081,118189,Abbey Night Pant Sustainable,38,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546098,118189,Abbey Night Pant Sustainable,40,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546104,118189,Abbey Night Pant Sustainable,42,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546111,118189,Abbey Night Pant Sustainable,44,662,Chocolate Chip,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441072,118189,Abbey Night Pant Sustainable,32,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441089,118189,Abbey Night Pant Sustainable,34,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441096,118189,Abbey Night Pant Sustainable,36,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441102,118189,Abbey Night Pant Sustainable,38,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441119,118189,Abbey Night Pant Sustainable,40,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441126,118189,Abbey Night Pant Sustainable,42,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855441133,118189,Abbey Night Pant Sustainable,44,801,Black,,45,119,17000,Tailored Pants,Jul/Aug 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443298,118189,Abbey Night Pant Sustainable,32,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443304,118189,Abbey Night Pant Sustainable,34,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443311,118189,Abbey Night Pant Sustainable,36,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443328,118189,Abbey Night Pant Sustainable,38,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443335,118189,Abbey Night Pant Sustainable,40,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443342,118189,Abbey Night Pant Sustainable,42,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855443359,118189,Abbey Night Pant Sustainable,44,880,Antracite,,45,119,17000,Tailored Pants,"Jul/Aug 2020,Aug/Sep 2020","50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855545985,118189,Abbey Night Pant Sustainable,32,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855545992,118189,Abbey Night Pant Sustainable,34,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546005,118189,Abbey Night Pant Sustainable,36,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546012,118189,Abbey Night Pant Sustainable,38,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546029,118189,Abbey Night Pant Sustainable,40,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546036,118189,Abbey Night Pant Sustainable,42,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546043,118189,Abbey Night Pant Sustainable,44,657,Sassafras,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546128,118189,Abbey Night Pant Sustainable,32,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546135,118189,Abbey Night Pant Sustainable,34,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855515698,118189,Abbey Night Pant Sustainable,36,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546142,118189,Abbey Night Pant Sustainable,38,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546159,118189,Abbey Night Pant Sustainable,40,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546166,118189,Abbey Night Pant Sustainable,42,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855546173,118189,Abbey Night Pant Sustainable,44,872,Wet Weather,,45,119,17000,Tailored Pants,Aug/Sep 2020,"50%CO,46%RPA,4%EL",6204623990,TR,Flat Packed - (Hanging in warehouse)
MOS MOSH,AW20,5711855515506,134250,Abbey Retro Pant,32,872,Wet Weather,Ankle,50,139,17000,Tailored Pants,Jul/Aug 2020,"68%CO,29%PES,3%EL",6204623990,TR,Flat Packed
MOS MOSH,AW20,5711855522238,134250,Abbey Retro Pant,34,872,Wet Weather,Ankle,50,139,17000,Tailored Pants,Jul/Aug 2020,"68%CO,29%PES,3%EL",6204623990,TR,Flat Packed
MOS MOSH,AW20,5711855522245,134250,Abbey Retro Pant,36,872,Wet Weather,Ankle,50,139,17000,Tailored Pants,Jul/Aug 2020,"68%CO,29%PES,3%EL",6204623990,TR,Flat Packed
